imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0172495,"Gladiator",2000,R,155,Action++Adventure++Drama,8.5,67,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",Ridley Scott,Russell Crowe++Joaquin Phoenix++Connie Nielsen++Oliver Reed,1053538,$187.67M
0209144,"Memento",2000,R,113,Mystery++Thriller,8.5,80,"A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.",Christopher Nolan,Guy Pearce++Carrie-Anne Moss++Joe Pantoliano++Mark Boone Junior,903635,$25.53M
0208092,"Snatch",2000,R,102,Comedy++Crime,8.3,55,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Jason Statham++Brad Pitt++Benicio Del Toro++Dennis Farina,639473,$30.09M
0180093,"Requiem for a Dream",2000,R,102,Drama,8.4,68,"The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",Darren Aronofsky,Ellen Burstyn++Jared Leto++Jennifer Connelly++Marlon Wayans,613542,$3.61M
0120903,"X-Men",2000,PG-13,104,Action++Adventure++Sci-Fi,7.4,64,"Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.",Bryan Singer,Patrick Stewart++Hugh Jackman++Ian McKellen++Famke Janssen,482299,$157.30M
0162222,"Cast Away",2000,PG-13,143,Adventure++Drama++Romance,7.7,73,"A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.",Robert Zemeckis,Tom Hanks++Helen Hunt++Paul Sanchez++Lari White,419844,$233.63M
0144084,"American Psycho",2000,R,102,Crime++Drama,7.6,64,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,Christian Bale++Justin Theroux++Josh Lucas++Bill Sage,381179,$15.05M
0212338,"Meet the Parents",2000,PG-13,108,Comedy++Romance,7.0,73,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Jay Roach,Ben Stiller++Robert De Niro++Teri Polo++Blythe Danner,270940,$166.23M
0217869,"Unbreakable",2000,PG-13,106,Drama++Mystery++Sci-Fi,7.2,62,"A man learns something extraordinary about himself after a devastating accident.",M. Night Shyamalan,Bruce Willis++Samuel L. Jackson++Robin Wright++Spencer Treat Clark,270449,$95.00M
0120755,"Mission: Impossible II",2000,PG-13,123,Action++Adventure++Thriller,6.1,59,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",John Woo,Tom Cruise++Dougray Scott++Thandie Newton++Ving Rhames,255357,$215.40M
