imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0010323,"The Cabinet of Dr. Caligari",1920,Unrated,67,Fantasy++Horror++Mystery,8.1,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,Werner Krauss++Conrad Veidt++Friedrich Feher++Lil Dagover,42397,
0011237,"The Golem",1920,Unrated,91,Fantasy++Horror,7.2,,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",Carl Boese++Paul Wegener,Paul Wegener++Albert Steinrück++Ernst Deutsch++Lyda Salmonova,5069,
0011841,"Way Down East",1920,Not Rated,145,Drama++Romance,7.9,,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",D.W. Griffith,Lillian Gish++Richard Barthelmess++Mrs. David Landau++Lowell Sherman,4062,
0011130,"Dr. Jekyll and Mr. Hyde",1920,Unrated,49,Drama++Horror++Sci-Fi,7.0,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",John S. Robertson,John Barrymore++Martha Mansfield++Brandon Hurst++Charles Lane,3761,
0011439,"The Mark of Zorro",1920,Not Rated,107,Adventure++Romance++Western,7.3,,"A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",Fred Niblo,Douglas Fairbanks++Marguerite De La Motte++Robert McKim++Noah Beery,1734,
0011565,"The Penalty",1920,Passed,90,Crime++Drama++Horror,7.5,,"A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.",Wallace Worsley,Charles Clary++Doris Pawn++Jim Mason++Lon Chaney,1540,
0011870,"Within Our Gates",1920,,79,Drama++Romance,6.4,,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",Oscar Micheaux,Evelyn Preer++Flo Clements++James D. Ruffin++Jack Chenault,1514,
0011865,"Why Change Your Wife?",1920,Approved,90,Comedy++Drama,7.9,,"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to ... See full summary »",Cecil B. DeMille,Thomas Meighan++Gloria Swanson++Bebe Daniels++Theodore Kosloff,1178,
0011652,"The Saphead",1920,,77,Comedy,6.2,,"The simple-minded son of a rich financier must find his own way in the world.",Herbert Blaché++Winchell Smith,Edward Jobson++Beulah Booker++Edward Connelly++Edward Alexander,1147,
0011000,"Leaves From Satan's Book",1920,TV-14,167,Drama,6.8,,"In 4 episodic tales of human suffering; the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win God's favor.",Carl Theodor Dreyer,Helge Nissen++Halvard Hoff++Jacob Texiere++Hallander Helleman,898,
0011387,"The Last of the Mohicans",1920,Not Rated,73,Adventure++Drama,6.9,,"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil... See full summary »",Clarence Brown++Maurice Tourneur,Wallace Beery++Barbara Bedford++Alan Roscoe++Lillian Hall,882,
0011607,"The Parson's Widow",1920,TV-14,71,Comedy++Drama++Horror,7.5,,"A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is ... See full summary »",Carl Theodor Dreyer,Hildur Carlberg++Einar Röd++Greta Almroth++Olav Aukrust,775,
0011221,"Genuine",1920,,88,Horror,6.0,,"Extremely rare work of Robert Wiene. From the director and year of excellent ""The Cabinet of Dr. Caligari"" this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.",Robert Wiene,Fern Andra++Hans Heinrich von Twardowski++Ernst Gronau++Harald Paulsen,633,
