imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0099685,"Goodfellas",1990,R,146,Crime++Drama,8.7,89,"The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVitto in the Italian-American crime syndicate.",Martin Scorsese,Robert De Niro++Ray Liotta++Joe Pesci++Lorraine Bracco,781277,$46.84M
0099487,"Edward Scissorhands",1990,PG-13,105,Drama++Fantasy++Romance,7.9,74,"A gentle man, with scissors for hands, is brought into a new community after living in isolation.",Tim Burton,Johnny Depp++Winona Ryder++Dianne Wiest++Anthony Michael Hall,376759,$56.36M
0099785,"Home Alone",1990,PG,103,Comedy++Family,7.5,63,"An eight-year-old trouble-maker must protect his home from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.",Chris Columbus,Macaulay Culkin++Joe Pesci++Daniel Stern++John Heard,340820,$285.76M
0099088,"Back to the Future Part III",1990,PG,118,Action++Adventure++Comedy,7.4,55,"Enjoying a peaceable existence in 1885, Doctor Emmet Brown is about to be killed by Buford ""Mad Dog"" Tannen. Marty McFly travels back in time to save his friend.",Robert Zemeckis,Michael J. Fox++Christopher Lloyd++Mary Steenburgen++Thomas F. Wilson,307463,$87.67M
0099674,"The Godfather: Part III",1990,R,162,Crime++Drama,7.6,60,"In the midst of trying to legitimize his business dealings in New York and Italy in 1979, aging Mafia don Michael Corleone seeks to avow for his sins while taking his nephew Vincent Mancini under his wing.",Francis Ford Coppola,Al Pacino++Diane Keaton++Andy Garcia++Talia Shire,287891,$66.68M
0099423,"Die Hard 2",1990,R,124,Action++Thriller,7.1,67,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Renny Harlin,Bruce Willis++William Atherton++Bonnie Bedelia++Reginald VelJohnson,283484,$117.54M
0100802,"Total Recall",1990,R,113,Action++Sci-Fi++Thriller,7.5,57,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?",Paul Verhoeven,Arnold Schwarzenegger++Sharon Stone++Michael Ironside++Rachel Ticotin,252364,$119.41M
0100405,"Pretty Woman",1990,R,119,Comedy++Romance,6.9,51,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Garry Marshall,Richard Gere++Julia Roberts++Jason Alexander++Laura San Giacomo,227546,$178.41M
0099348,"Dances with Wolves",1990,PG-13,181,Adventure++Drama++Western,8.0,72,"Lt. John Dunbar, exiled to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,Kevin Costner++Mary McDonnell++Graham Greene++Rodney A. Grant,197302,$184.21M
0099653,"Ghost",1990,PG-13,127,Drama++Fantasy++Romance,7.0,52,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Jerry Zucker,Patrick Swayze++Demi Moore++Whoopi Goldberg++Tony Goldwyn,161599,$217.63M
0099810,"The Hunt for Red October",1990,PG,135,Action++Adventure++Thriller,7.6,58,"In November 1984, the Soviet Union's best submarine captain in their newest sub violates orders and heads for the USA. Is he trying to defect or to start a war?",John McTiernan,Sean Connery++Alec Baldwin++Scott Glenn++Sam Neill,149876,$122.01M
0100157,"Misery",1990,R,107,Crime++Drama++Thriller,7.8,,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,James Caan++Kathy Bates++Richard Farnsworth++Frances Sternhagen,142320,$61.28M
0100403,"Predator 2",1990,R,108,Action++Horror++Sci-Fi,6.2,,"Amidst a territorial gang war in 1997, a sophisticated alien hunter stalks the citizens of Los Angeles and the only man between him and his prey is veteran L.A.P.D. officer, Lieutenant Mike Harrigan.",Stephen Hopkins,Danny Glover++Gary Busey++Kevin Peter Hall++Rubén Blades,113495,$30.67M
0099938,"Kindergarten Cop",1990,PG-13,111,Comedy,6.0,61,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",Ivan Reitman,Arnold Schwarzenegger++Penelope Ann Miller++Pamela Reed++Linda Hunt,113127,$91.46M
0100150,"Miller's Crossing",1990,R,115,Crime++Drama++Thriller,7.8,66,"Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen++Ethan Coen,Gabriel Byrne++Albert Finney++John Turturro++Marcia Gay Harden,108551,$5.08M
0100507,"Rocky V",1990,PG-13,104,Drama++Sport,5.2,55,"Reluctantly retired from boxing, and back from riches to rags, Rocky takes on a new protege who betrays him, as the champ's son must adjust to his family's new life after bankruptcy.",John G. Avildsen,Sylvester Stallone++Talia Shire++Burt Young++Sage Stallone,99753,$40.95M
0099077,"Awakenings",1990,PG-13,121,Biography++Drama,7.8,74,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall,Robert De Niro++Robin Williams++Julie Kavner++Ruth Nelson,98473,$52.10M
0100814,"Tremors",1990,PG-13,96,Comedy++Horror,7.1,65,"Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.",Ron Underwood,Kevin Bacon++Fred Ward++Finn Carter++Michael Gross,95917,$16.67M
0099871,"Jacob's Ladder",1990,R,113,Drama++Horror++Mystery,7.5,62,"Mourning his dead child, a haunted Vietnam War veteran attempts to discover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusion, and perception of death.",Adrian Lyne,Tim Robbins++Elizabeth Peña++Danny Aiello++Matt Craven,80233,$26.12M
0099700,"Gremlins 2: The New Batch",1990,PG-13,106,Comedy++Fantasy++Horror,6.3,,"The Gremlins are back, and this time, they've taken total control over the building of a media mogul.",Joe Dante,Zach Galligan++Phoebe Cates++John Glover++Robert Prosky,73480,$41.48M
0100758,"Teenage Mutant Ninja Turtles",1990,PG,93,Action++Adventure++Comedy,6.7,,"Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.",Steve Barron,Judith Hoag++Elias Koteas++Josh Pais++David Forman,72437,$135.27M
0100502,"RoboCop 2",1990,R,117,Action++Crime++Sci-Fi,5.7,,"Cyborg law enforcer RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2.",Irvin Kershner,Peter Weller++Belinda Bauer++John Glover++Mario Machado,67002,$45.68M
