imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
1431045,"Deadpool",2016,R,108,Action++Adventure++Comedy,8.0,65,"A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.",Tim Miller,Ryan Reynolds++Morena Baccarin++T.J. Miller++Ed Skrein,627594,$363.02M
2975590,"Batman v Superman: Dawn of Justice",2016,PG-13,151,Action++Adventure++Sci-Fi,6.7,44,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Zack Snyder,Ben Affleck++Henry Cavill++Amy Adams++Jesse Eisenberg,472227,$330.25M
3498820,"Captain America: Civil War",2016,PG-13,147,Action++Adventure++Sci-Fi,7.9,75,"Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.",Anthony Russo++Joe Russo,Chris Evans++Robert Downey Jr.++Scarlett Johansson++Sebastian Stan,411524,$408.08M
1386697,"Suicide Squad",2016,PG-13,123,Action++Adventure++Fantasy,6.2,40,"A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",David Ayer,Will Smith++Jared Leto++Margot Robbie++Viola Davis,393515,$325.02M
2543164,"Arrival",2016,PG-13,116,Drama++Mystery++Sci-Fi,8.0,81,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Denis Villeneuve,Amy Adams++Jeremy Renner++Forest Whitaker++Michael Stuhlbarg,340568,$100.50M
3748528,"Rogue One",2016,PG-13,133,Action++Adventure++Sci-Fi,7.9,65,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,Felicity Jones++Diego Luna++Alan Tudyk++Donnie Yen,322890,$532.17M
2948356,"Zootopia",2016,PG,108,Animation++Adventure++Comedy,8.1,78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard++Rich Moore++Jared Bush,Ginnifer Goodwin++Jason Bateman++Idris Elba++Jenny Slate,296729,$341.26M
1211837,"Doctor Strange",2016,PG-13,115,Action++Adventure++Fantasy,7.6,72,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,Benedict Cumberbatch++Chiwetel Ejiofor++Rachel McAdams++Benedict Wong,293489,$232.60M
3385516,"X-Men: Apocalypse",2016,PG-13,144,Action++Adventure++Sci-Fi,7.1,52,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Bryan Singer,James McAvoy++Michael Fassbender++Jennifer Lawrence++Nicholas Hoult,275376,$155.33M
3783958,"La La Land",2016,PG-13,128,Comedy++Drama++Music,8.3,93,"A jazz pianist falls for an aspiring actress in Los Angeles.",Damien Chazelle,Ryan Gosling++Emma Stone++Rosemarie DeWitt++J.K. Simmons,258400,$151.06M
3183660,"Fantastic Beasts and Where to Find Them",2016,PG-13,133,Adventure++Family++Fantasy,7.5,66,"The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",David Yates,Eddie Redmayne++Katherine Waterston++Alison Sudol++Dan Fogler,231890,$234.02M
2119532,"Hacksaw Ridge",2016,R,139,Biography++Drama++History,8.2,71,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,Andrew Garfield++Sam Worthington++Luke Bracey++Teresa Palmer,211545,$67.12M
3040964,"The Jungle Book",2016,PG,106,Adventure++Drama++Family,7.5,77,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",Jon Favreau,Neel Sethi++Bill Murray++Ben Kingsley++Idris Elba,198189,$364.00M
1179933,"10 Cloverfield Lane",2016,PG-13,104,Drama++Horror++Mystery,7.2,76,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Dan Trachtenberg,John Goodman++Mary Elizabeth Winstead++John Gallagher Jr.++Douglas M. Griffin,192899,$71.90M
1355644,"Passengers",2016,PG-13,116,Adventure++Drama++Romance,7.0,41,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Morten Tyldum,Jennifer Lawrence++Chris Pratt++Michael Sheen++Laurence Fishburne,191942,$100.01M
