imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0087829,"Odd Jobs",1986,PG-13,88,Comedy,4.8,,"Four students who work on different jobs during their vacations in summer are tired of doing the same thing every year. Therefore they decide to open up a moving company together and ... See full summary »",Mark Story,Paul Reiser++Robert Townsend++Scott McGinnis++Rick Overton,289,
0102840,"Il sapore del grano",1986,,93,Drama,7.0,,"Lorenzo, a handsome first-year professor in an isolated Italian village, falls under the spell of his most beguiling pupil, a dark-haired, starry-eyed 12-year-old named Duilio. As Lorenzo's... See full summary »",Gianni Da Campo,Lorenzo Lena++Marco Mestriner++Alba Mottura++Egidio Termine,286,
0199688,"Kleftroni kai gentleman",1986,,84,Comedy,5.7,,"Stathis tries to find a job but in the meantime he finds Marina, who he decides to help figure out who is behind the motorcycle that has been stolen from her father.",Yiannis Hartomatzidis,Stathis Psaltis++Efi Pikoula++Pavlos Evagelopoulos++Stella Konstantinidou,285,
0091096,"Ga, Ga - Chwala bohaterom",1986,,84,Horror++Sci-Fi,7.1,,"In the 21st century, prisoners aboard penitentiary space ships explore unknown worlds.",Piotr Szulkin,Mariusz Benoit++Henryk Bista++Maria Ciunelis++Bozena Dykiel,280,
0097404,"Future Hunters",1986,R,96,Adventure++Action++Sci-Fi,4.6,,"2025 A.D. A lone adventurer searches the post-nuclear wasteland for the most devastating, godless artifact in history. When he touches it, he is transported back in time to 1989 Los Angeles... See full summary »",Cirio H. Santiago,Robert Patrick++Linda Carol++Ed Crick++Bob Schott,275,
0090805,"Il caso Moro",1986,,110,Crime++Drama++History,7.2,,"On March 16 1978, the Red Brigade kidnap the Chief of the Christian Democraty, the party in power in Italy since the end of the war. fifty-five days later, his corpse was found in the trunk... See full summary »",Giuseppe Ferrara,Gian Maria Volontè++Mattia Sbragia++Bruno Zanin++Consuelo Ferrara,275,
0091734,"The Patriot",1986,R,88,Action,2.9,,"Agent tries to track down terrorists who are intercepting government nuclear weapons.",Frank Harris,Gregg Henry++Simone Griffeth++Michael J. Pollard++Jeff Conaway,273,
0091151,"The Great Wall Is a Great Wall",1986,PG,97,Comedy++Drama,6.9,,"When computer programmer, Leo Fang, is passed up for promotion, he feels it is because he is Chinese, and quits. He takes his Chinese-American family to Mainland China to visit his ... See full summary »",Peter Wang,Peter Wang++Sharon Iwai++Kelvin Han Yee++Qinqin Li,272,
0091712,"Oviri",1986,R,90,Biography++Drama,6.2,,"This biographical film, based on the life of French artist Paul Gauguin (Donald Sutherland), follows the painter as he returns to Paris after a long stay in Tahiti and must confront his ... See full summary »",Henning Carlsen,Donald Sutherland++Max von Sydow++Jean Yanne++Sofie Gråbøl,268,$0.58M
0090700,"Barndommens gade",1986,,90,Drama,6.3,,"A movie based of a book, follows a young girl named Ester, and her family and friends as poor danish citizens, in a rough area of Copenhagen in the 1930's.",Astrid Henning-Jensen,Sofie Gråbøl++Carl Quist Møller++Vigga Bro++Torben Jensen,268,
0090677,"Avanti popolo",1986,,84,Drama++War,7.6,,"June 11th 1967, the Six-Day War is over and the cease fire has just begun. We follow the journey of Gassan and Haled, two Egyptian soldiers whose only wish is to make their way through the ... See full summary »",Rafi Bukai,Salim Dau++Suhel Haddad++Tuvia Gelber++Danny Segev,268,
