mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"4094","92798","5.2","2,382","16 January 1987 (USA)","1987","100","R","Michael Apted","USA","English","$14,000,000","$20,240,502"
"4095","92804","7.5","10,385","6 November 1987 (USA)","1987","157","PG","Richard Attenborough","UK","English","$29,000,000","$5,899,797"
"4096","92809","4.9","1,604","11 September 1987 (USA)","1987","92","R","David Keith","USA","English","Unavailable","$1,930,001"
"4097","92842","6.3","2,584","6 February 1987 (USA)","1987","100","R","Arthur Penn","USA","English","Unavailable","$2,413,427"
"4098","92843","7.4","5,766","18 December 1987 (USA)","1987","83","PG","John Huston","UK","English","Unavailable","$4,370,078"
"4099","92854","4.8","639","20 February 1987 (USA)","1987","91","R","Terry Leonard","USA","English","Unavailable","$4,546,244"
"4100","92897","4.8","1,668","14 August 1987 (USA)","1987","86","PG","Michael Schultz","USA","English","Unavailable","$10,348,437"
"4101","92904","6.6","925","1 January 1987 (USA)","1987","103","R","Richard Lowenstein","Australia","English","Unavailable","Unavailable"
"4102","92948","7.6","15,550","18 December 1987 (USA)","1987","93","R","Robert Townsend","USA","English","Unavailable","$50,504,655"
"4103","92965","7.8","93,723","25 December 1987 (USA)","1987","153","PG","Steven Spielberg","USA","English","$35,000,000","$22,238,696"
"4104","92974","5.5","9,335","22 May 1987 (USA)","1987","92","PG","John R. Cherry III","USA","English","$3,000,000","$23,509,382"
"4105","83907","7.6","149,315","15 April 1983 (USA)","1983","85","NC-17","Sam Raimi","USA","English","$350,000","Unavailable"
"4106","92997","6.6","4,719","24 April 1987 (USA)","1987","96","R","Walter Hill","USA","English","$22,000,000","$11,307,844"
"4107","93006","6.7","1,060","1 September 1988 (Australia)","1988","86","NotRated","Atom Egoyan","Canada","English","CAD&nbsp;160,000","Unavailable"
"4108","93029","6.3","2,544","May 1988 (UK)","(UK)","90","R","Tony Bill","UK","English","Unavailable","$969,205"
"4109","93036","5.7","7,826","20 November 1987 (USA)","1987","93","PG-13","Jeffrey Bloom","USA","English","Unavailable","$15,151,736"
"4110","93044","6.5","7,310","28 August 1987 (USA)","1987","119","R","John Mackenzie","UK","English","$6,000,000","$12,423,831"
"4111","93073","6.4","4,187","8 May 1987 (USA)","1987","111","R","Francis Ford Coppola","USA","English","Unavailable","$5,262,047"
"4112","93092","5.7","657","5 February 1988 (USA)","1988","98","R","Peter Del Monte","Italy","English","Unavailable","$901,364"
"4113","93093","7.2","1,675","15 January 1988 (Denmark)","1988","134","PG","Paul Newman","USA","English","Unavailable","$895,904"
