mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"98560","85864","5.2","1,072","4 March 1983 (Hong Kong)","1983","0","None","Chuan Chen","Hong Kong","Mandarin","Unavailable","Unavailable"
"98563","1839591","5.2","4,432","6 March 2012 (USA)","2012","94","R","Terry Miles","Canada","English","Unavailable","Unavailable"
"98566","1144579","3.5","756","26 January 2008 (USA)","2008","100","None","James Oxford","USA","English","Unavailable","Unavailable"
"98570","1649780","5.9","6,352","16 August 2012 (Israel)","2012","96","R","Bruce Beresford","USA","English","Unavailable","$539,896"
"98572","272052","7.3","181","Unavailable","Unavailable","0","None","Ken Burns","USA","English","Unavailable","Unavailable"
"98581","101869","5.4","187","11 May 1991 (USA)","1991","0","R","Larry Elikann","USA","English","Unavailable","Unavailable"
"98583","2062645","7","556","30 November 2012 (USA)","2012","98","R","Duncan Bridgeman","Mexico","Spanish","$2,000,000","$145,936"
"98585","975645","6.8","62,769","14 December 2012 (USA)","2012","98","PG-13","Sacha Gervasi","USA","English","Unavailable","$6,002,708"
"98587","2177511","7.3","5,124","2 March 2012 (Italy)","2012","77","None","Paolo Taviani","Italy","Italian","Unavailable","Unavailable"
"98589","104516","4.9","495","9 January 1993 (Japan)","1993","92","R","Michael Cohn","USA","English","Unavailable","Unavailable"
"98591","70356","6.9","1,324","13 December 1973 (France)","1973","0","None","Robert Lamoureux","France","French","Unavailable","Unavailable"
"98595","75939","6.7","583","14 December 1977 (France)","1977","97","None","Diane Kurys","France","French","Unavailable","Unavailable"
"98601","94644","4.4","148","19 May 1988 (West Germany)","1988","102","R","Maurice Hatton","UK","English","Unavailable","Unavailable"
"98604","1798188","7.4","21,035","16 July 2011 (Japan)","2011","91","PG","Gorô Miyazaki","Japan","Japanese","$22,000,000","$1,000,878"
"98607","1483797","7.5","6,714","9 October 2010 (Japan)","2010","0","None","Takeshi Koike","Japan","Japanese","Unavailable","Unavailable"
"98609","39472","6.1","258","17 May 1947 (USA)","1947","74","Approved","William Keighley","USA","English","Unavailable","Unavailable"
"98611","30302","6.6","410","11 November 1938 (USA)","1938","70","Passed","Irving Cummings","USA","English","Unavailable","Unavailable"
"98613","33780","6.3","289","22 January 1942 (USA)","1942","88","NotRated","Harold S. Bucquet","USA","English","Unavailable","Unavailable"
"98615","101522","6.4","114","21 March 1991 (Japan)","1991","47","None","Yasunori Ide","Japan","Unavailable","Unavailable","Unavailable"
"98617","264813","7.2","73","23 July 2006 (USA)","2006","50","None","Richard Leacock","West Germany","English","Unavailable","Unavailable"
"98619","2069830","-1","0","1994 (Canada)","Unavailable","52","None","Bernard Émond","Canada","French","Unavailable","Unavailable"
"98621","1679681","6.8","625","26 June 2010 (Japan)","2010","136","NotRated","Kôji Masunari","Japan","Japanese","Unavailable","Unavailable"
"98623","86605","6.8","3,262","7 July 1983 (Hong Kong)","1983","108","PG-13","Sammo Kam-Bo Hung","Hong Kong","Cantonese","Unavailable","Unavailable"
"98626","482461","5.9","3,511","13 March 2010 (USA)","2010","95","R","Chris D'Arienzo","USA","English","Unavailable","Unavailable"
"98629","1714205","7.1","2,917","7 September 2012 (Finland)","2012","125","None","Antti Jokinen","Finland","Finnish","&euro;2,400,000","Unavailable"
"98631","1922561","7.1","1,392","8 September 2011 (South Korea)","2011","79","NotRated","Sang-soo Hong","South Korea","Korean","Unavailable","$11,819"
"98633","89177","6.6","3,520","10 February 1985 (Hong Kong)","1985","0","PG-13","Sammo Kam-Bo Hung","Hong Kong","Cantonese","Unavailable","Unavailable"
"98643","37848","7.2","115","4 October 1945 (USA)","1945","90","None","Richard Wallace","USA","English","Unavailable","Unavailable"
"98693","246278","6.8","546","18 April 2001 (France)","2001","104","None","Yves Lavandier","France","French","Unavailable","Unavailable"
"98697","66798","7","1,682","4 May 1972 (France)","1972","0","R","Claude Lelouch","France","French","Unavailable","Unavailable"
"98699","226418","7.7","999","12 December 1999 (USA)","1999","100","None","Michael Pressman","USA","English","Unavailable","Unavailable"
"98751","15589","6.2","5","6 April 1925 (USA)","1925","0","None","Paul Powell","USA","English","Unavailable","Unavailable"
"98755","1772230","6","4,904","23 September 2011 (China)","2011","121","R","Li Zhang","China","Mandarin","$18,000,000","$127,437"
"98759","79891","7.1","3,251","1982 (China)","Unavailable","95","None","Hsin-Yen Chang","China","Mandarin","CNY&nbsp;1,200,000","Unavailable"
"98761","86301","6.4","1,215","26 January 1984 (Hong Kong)","1984","103","TV-14","Hsin-Yen Chang","Hong Kong","Unavailable","Unavailable","Unavailable"
"98766","1737122","7.5","217","20 January 2012 (USA)","2012","0","PG","Dori Berinstein","USA","English","Unavailable","$9,949"
"98768","418879","5.2","1,506","23 March 2007 (USA)","2007","0","R","Bennett Davlin","Canada","English","$3,500,000","Unavailable"
"98783","91607","6.7","1,365","1 February 1986 (Hong Kong)","1986","90","None","Chia-Liang Liu","Hong Kong","Mandarin","Unavailable","Unavailable"
"98786","1876446","3.7","870","10 December 2011 (USA)","2011","89","PG-13","Sheldon Wilson","Canada","English","Unavailable","Unavailable"
"98788","31972","6.5","231","6 January 1939 (USA)","1939","97","Passed","W.S. Van Dyke","USA","English","Unavailable","Unavailable"
"98795","221300","8.5","1,437","8 January 2001 (USA)","2001","114","None","Unavailable","UK","English","$13,000,000","Unavailable"
"98797","2178941","7.2","9,904","8 March 2012 (Germany)","2012","105","PG-13","Christian Petzold","Germany","German","Unavailable","Unavailable"
"98799","1979172","5.9","1,320","8 February 2013 (UK)","2013","85","R","Bill Jones","UK","English","Unavailable","$5,102"
"98803","30371","6.6","624","29 July 1938 (USA)","1938","72","Approved","Irving Cummings","USA","English","Unavailable","Unavailable"
"98805","35068","6.5","315","29 May 1942 (USA)","1942","82","Approved","Edwin L. Marin","USA","English","Unavailable","Unavailable"
