mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"1","114709","8.3","666,965","22 November 1995 (USA)","1995","81","G","John Lasseter","USA","English","$30,000,000","$191,796,233"
"2","113497","6.9","221,484","15 December 1995 (USA)","1995","104","PG","Joe Johnston","USA","English","$50,000,000","$100,200,000"
"3","113228","6.6","20,122","22 December 1995 (USA)","1995","101","PG-13","Howard Deutch","USA","English","$25,000,000","$69,870,000"
"4","114885","5.7","7,750","22 December 1995 (USA)","1995","124","R","Forest Whitaker","USA","English","$16,000,000","$66,217,473"
"5","113041","5.9","27,837","8 December 1995 (USA)","1995","106","PG","Charles Shyer","USA","English","$30,000,000","$76,594,000"
"6","113277","8.2","454,255","15 December 1995 (USA)","1995","170","R","Michael Mann","USA","English","$60,000,000","$67,436,000"
"7","114319","6.3","30,751","15 December 1995 (USA)","1995","127","PG","Sydney Pollack","Germany","English","$58,000,000","$53,458,319"
"8","112302","5.6","7,863","22 December 1995 (USA)","1995","97","PG","Peter Hewitt","USA","English","Unavailable","$23,735,802"
"9","114576","5.7","26,700","22 December 1995 (USA)","1995","111","R","Peter Hyams","USA","English","$35,000,000","$22,000,000"
"10","113189","7.2","205,252","17 November 1995 (USA)","1995","130","PG-13","Martin Campbell","UK","English","$60,000,000","$106,635,996"
"11","112346","6.8","44,403","17 November 1995 (USA)","1995","114","PG-13","Rob Reiner","USA","English","$62,000,000","$65,000,000"
"12","112896","5.8","31,736","22 December 1995 (USA)","1995","88","PG-13","Mel Brooks","USA","English","$30,000,000","$10,693,649"
"13","112453","7.1","31,883","22 December 1995 (USA)","1995","0","G","Simon Wells","USA","English","Unavailable","$11,268,750"
"14","113987","7.1","24,890","5 January 1996 (USA)","1996","192","R","Oliver Stone","USA","English","$50,000,000","$13,560,960"
"15","112760","5.6","21,957","22 December 1995 (USA)","1995","124","PG-13","Renny Harlin","USA","English","$98,000,000","$11,000,000"
"16","112641","8.2","354,559","22 November 1995 (USA)","1995","178","R","Martin Scorsese","France","English","$52,000,000","$42,438,300"
"17","114388","7.7","81,757","26 January 1996 (USA)","1996","136","PG","Ang Lee","USA","English","$16,000,000","$42,700,000"
"18","113101","6.7","81,490","25 December 1995 (USA)","1995","98","R","Allison Anders","USA","English","$4,000,000","$4,301,331"
"19","112281","6.3","167,570","10 November 1995 (USA)","1995","90","PG-13","Steve Oedekerk","USA","English","$30,000,000","$108,360,000"
"20","113845","5.6","33,276","22 November 1995 (USA)","1995","110","R","Joseph Ruben","USA","English","$68,000,000","$35,324,232"
"21","113161","6.9","64,842","20 October 1995 (USA)","1995","105","R","Barry Sonnenfeld","USA","English","$30,250,000","$72,077,000"
"22","112722","6.6","43,855","27 October 1995 (USA)","1995","123","R","Jon Amiel","USA","English","$20,000,000","$32,051,917"
"23","112401","6.3","65,541","6 October 1995 (USA)","1995","132","R","Richard Donner","France","English","$50,000,000","$30,306,268"
"24","114168","6.5","24,943","27 October 1995 (USA)","1995","111","PG-13","Victor Salva","USA","English","$9,500,000","$30,862,146"
"25","113627","7.6","97,156","9 February 1996 (USA)","1996","111","R","Mike Figgis","USA","English","$3,600,000","$31,968,347"
"26","114057","7","7,768","19 January 1996 (USA)","1996","123","R","Oliver Parker","USA","English","$11,000,000","$2,112,951"
"27","114011","6.8","22,242","20 October 1995 (USA)","1995","100","PG-13","Lesli Linka Glatter","USA","English","Unavailable","$27,400,000"
"28","114117","7.7","9,034","16 April 1995 (UK)","1995","107","PG","Roger Michell","UK","English","Unavailable","$5,462,325"
"29","112682","7.7","57,368","15 December 1995 (USA)","1995","112","R","Marc Caro","France","French","$18,000,000","$1,513,028"
"30","115012","7.2","4,355","22 December 1995 (USA)","1995","0","R","Yimou Zhang","France","Mandarin","Unavailable","$2,300,000"
"31","112792","6.4","39,817","11 August 1995 (USA)","1995","99","R","John N. Smith","USA","English","$23,000,000","$84,919,401"
"32","114746","8","486,232","5 January 1996 (USA)","1996","129","R","Terry Gilliam","USA","English","$29,000,001","$56,882,000"
"33","114952","6.5","507","18 September 1996 (France)","1996","50","G","Jean-Jacques Annaud","France","English","Unavailable","$15,052"
"34","112431","6.8","98,120","4 August 1995 (USA)","1995","91","G","Chris Noonan","Australia","English","$30,000,000","$66,600,000"
"35","112637","6.9","4,544","10 November 1995 (USA)","1995","121","R","Christopher Hampton","UK","English","Unavailable","$3,242,342"
"36","112818","7.6","75,621","2 February 1996 (USA)","1996","122","R","Tim Robbins","UK","English","$11,000,000","$39,025,000"
"37","112286","6.4","215","20 October 1995 (USA)","1995","51","G","Stephen Low","USA","English","Unavailable","$15,981,095"
"38","113442","5.7","15,685","17 November 1995 (USA)","1995","101","PG","Andy Tennant","USA","English","Unavailable","$19,474,589"
"39","112697","6.8","131,386","19 July 1995 (USA)","1995","97","PG-13","Amy Heckerling","USA","English","$12,000,000","$56,631,572"
"40","112749","6.9","1,475","15 December 1995 (USA)","1995","106","PG-13","Darrell Roodt","South Africa","English","Unavailable","$676,525"
"41","114279","7.5","11,968","29 December 1995 (USA)","1995","104","R","Richard Loncraine","UK","English","&pound;6,000,000","$2,600,000"
"42","112819","6.8","15,932","6 October 1995 (USA)","1995","119","R","Albert Hughes","USA","English","$10,000,000","$24,200,000"
"43","114272","6.7","7,801","2 February 1996 (USA)","1996","117","R","Michael Hoffman","USA","English","$19,000,000","$4,100,000"
"44","113855","5.8","84,777","18 August 1995 (USA)","1995","101","PG-13","Paul W.S. Anderson","USA","English","$18,000,000","$70,360,285"
"45","114681","6.8","36,013","6 October 1995 (USA)","1995","106","R","Gus Van Sant","USA","English","$20,000,000","$21,200,000"
"46","113347","6.2","8,920","6 October 1995 (USA)","1995","117","PG-13","Jocelyn Moorhouse","USA","English","$10,000,000","$23,574,130"
"47","114369","8.6","1,091,667","22 September 1995 (USA)","1995","127","R","David Fincher","USA","English","$33,000,000","$100,125,340"
"48","114148","6.7","128,225","23 June 1995 (USA)","1995","81","G","Mike Gabriel","USA","English","$55,000,000","$141,600,000"
"49","114916","6.7","5,530","17 November 1995 (USA)","1995","94","R","Patricia Rozema","Canada","English","Unavailable","$1,194,152"
"50","114814","8.6","786,191","15 September 1995 (USA)","1995","106","R","Bryan Singer","USA","English","$6,000,000","$23,272,306"
"51","109950","4.8","229","22 November 1994 (USA)","1994","97","R","Richard W. Munchkin","USA","English","Unavailable","$252,009"
"52","113819","7.1","32,959","10 November 1995 (USA)","1995","95","R","Woody Allen","USA","English","$15,000,000","$6,700,000"
"53","110299","7.6","1,793","4 October 1995 (USA)","1995","116","None","Gianni Amelio","Italy","Albanian","Unavailable","$438,483"
"54","112499","5.5","7,268","29 September 1995 (USA)","1995","100","PG","Holly Goldberg Sloan","USA","English","$12,000,000","$17,725,500"
"55","113158","6.5","2,479","8 December 1995 (USA)","1995","115","R","Ulu Grosbard","USA","English","Unavailable","$2,907,768"
"56","113541","5","269","15 December 1995 (Canada)","1995","89","Unrated","Robert Tinnell","USA","English","Unavailable","Unavailable"
"57","113321","6.6","9,440","3 November 1995 (USA)","1995","103","PG-13","Jodie Foster","USA","English","$20,000,000","$17,518,220"
"58","110877","7.7","27,287","22 March 1996 (USA)","1996","108","PG","Michael Radford","Italy","Italian","$3,000,000","$21,840,154"
"59","112714","7.6","1,387","16 August 1996 (USA)","1996","100","NotRated","Robert Lepage","Canada","French","Unavailable","$575,001"
"60","113419","5.9","21,551","14 July 1995 (USA)","1995","96","PG","Frank Oz","USA","English","$45,000,000","$35,617,599"
"61","116260","6.1","10,505","12 January 1996 (USA)","1996","101","R","John Schlesinger","USA","English","$20,000,000","$53,146,000"
"62","113862","7.3","31,013","19 January 1996 (USA)","1996","143","PG","Stephen Herek","USA","English","$23,000,000","$82,528,097"
"63","116126","6.6","39,687","12 January 1996 (USA)","1996","89","R","Paris Barclay","USA","English","$3,800,000","$39,255,889"
"64","118002","5.2","4,673","12 January 1996 (USA)","1996","96","R","Bill Bennett","USA","English","Unavailable","$10,700,000"
"65","115683","4.4","22,201","12 January 1996 (USA)","1996","88","PG-13","Jason Bloom","USA","English","$15,000,000","$26,757,000"
"66","116839","2.4","8,190","12 January 1996 (USA)","1996","93","PG-13","Farhad Mann","USA","English","$15,000,000","$2,409,225"
"67","114753","6.3","2,836","22 November 1995 (USA)","1995","85","PG-13","James Foley","USA","English","Unavailable","Unavailable"
"68","113149","6.4","3,912","19 January 1996 (USA)","1996","104","R","Josiane Balasko","France","French","Unavailable","$1,400,000"
"69","113118","7.3","79,182","26 April 1995 (USA)","1995","91","R","F. Gary Gray","USA","English","$3,500,000","$27,900,000"
"70","116367","7.3","230,021","19 January 1996 (USA)","1996","108","R","Robert Rodriguez","USA","English","$19,000,000","$25,753,840"
"71","113010","4.1","10,456","3 November 1995 (USA)","1995","91","R","Andrew Sipes","USA","English","$50,000,000","$11,534,477"
"72","113537","7","7,275","6 October 1995 (USA)","1995","96","R","Noah Baumbach","USA","English","Unavailable","$704,543"
