mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"8683","68897","5.6","1,872","1 August 1972 (USA)","1972","100","PG","George McCowan","USA","English","$3,000,000","Unavailable"
"8684","49902","8.2","12,904","26 August 1957 (USA)","1957","99","NotRated","Robert Bresson","France","French","Unavailable","Unavailable"
"8685","47216","7.3","1,570","24 February 1955 (Spain)","1955","0","None","Ladislao Vajda","Spain","Spanish","Unavailable","Unavailable"
"8686","59470","7","2,573","September 1965 (Austria)","(Austria)","123","Approved","Bernhard Wicki","USA","English","$6,290,000","Unavailable"
"8687","54240","2.8","2,039","1 June 1965 (USA)","1965","92","Unrated","Stephen C. Apostolof","USA","English","Unavailable","Unavailable"
"8688","63592","5.5","2,070","13 December 1968 (UK)","1968","113","PG","Edward Dmytryk","UK","English","$1,455,000","Unavailable"
"8689","100602","6.8","3,183","23 March 1990 (USA)","1990","88","R","Jan Egleson","USA","English","Unavailable","$3,417,056"
"8690","69280","7","10,011","15 March 1972 (USA)","1972","104","R","George Roy Hill","USA","English","$3,200,000","Unavailable"
"8691","351770","6.7","1,482","10 September 2003 (France)","2003","92","None","Patrice Chéreau","France","French","Unavailable","Unavailable"
"8692","35530","7","1,423","11 August 1942 (USA)","1942","87","Approved","John Farrow","USA","English","$826,061","Unavailable"
"8693","45323","6.3","917","16 March 1953 (Sweden)","1953","111","Approved","John Ford","USA","English","Unavailable","Unavailable"
"8694","35583","7.3","2,441","19 November 1942 (USA)","1942","97","Approved","William A. Seiter","USA","English","Unavailable","Unavailable"
"8695","39169","7.3","6,341","1 September 1947 (USA)","1947","95","Approved","Irving Reis","USA","English","Unavailable","Unavailable"
"8696","69822","7","3,242","9 March 1974 (Denmark)","1974","106","R","Clint Eastwood","USA","English","Unavailable","Unavailable"
"8697","311072","7.3","1,665","1 March 2002 (Spain)","2002","125","Unrated","Antonio Hernández","Spain","Spanish","Unavailable","Unavailable"
"8698","99292","6.4","3,310","April 1991 (USA)","(USA)","107","R","Paul Schrader","USA","English","Unavailable","$1,244,381"
"8699","219636","6.4","379","24 February 2000 (USA)","2000","107","R","Reggie Rock Bythewood","USA","English","$850,000","Unavailable"
"8700","35799","7.2","3,704","31 December 1943 (USA)","1943","135","Approved","Delmer Daves","USA","English","Unavailable","Unavailable"
"8701","112895","4.4","2,336","25 August 1995 (USA)","1995","0","PG-13","David Price","UK","English","$8,000,000","$2,763,020"
"8702","109665","6.2","3,193","6 May 1994 (USA)","1994","103","R","Nicholas Kazan","USA","English","Unavailable","Unavailable"
"8703","299873","6.3","1,300","19 October 2001 (Spain)","2001","93","None","Àlex Ollé","Spain","Catalan","Unavailable","Unavailable"
"8704","97373","5.7","1,809","19 May 1989 (USA)","1989","105","R","Martin Stellman","UK","English","Unavailable","$191,051"
"8705","99623","4.9","989","21 September 1990 (USA)","1990","101","PG-13","Leonard Nimoy","USA","English","Unavailable","$8,141,292"
"8706","76111","5.9","1,019","19 August 1977 (Ireland)","1977","0","PG","Tom Gries","USA","English","Unavailable","Unavailable"
"8707","107045","5.8","287","7 December 1995 (Germany)","1995","87","Unrated","Richard Glatzer","USA","English","Unavailable","$215,428"
"8708","260695","5.7","656","25 January 2002 (USA)","2002","0","PG","James Anderson","USA","English","$2,000,000","Unavailable"
"8709","97530","5.8","1,787","19 May 1989 (USA)","1989","86","PG-13","Savage Steve Holland","USA","English","Unavailable","$1,642,239"
"8710","104812","7.2","2,730","14 May 1993 (USA)","1993","109","R","Vincent Ward","Australia","English","Unavailable","$2,806,881"
"8711","40613","7.3","8,323","4 June 1948 (USA)","1948","94","Approved","H.C. Potter","USA","English","Unavailable","Unavailable"
"8712","29284","7.4","7,359","17 May 1940 (USA)","1940","88","Approved","Garson Kanin","USA","English","Unavailable","Unavailable"
"8713","93744","5.9","3,365","29 July 1988 (USA)","1988","0","G","Ken Annakin","Sweden","English","$5,000,000","$3,569,939"
"8714","38776","6.2","2,166","3 August 1946 (USA)","1946","128","Approved","Michael Curtiz","USA","English","Unavailable","Unavailable"
"8715","52002","7.3","1,393","February 1959 (USA)","(USA)","77","Approved","Jack Arnold","USA","English","Unavailable","Unavailable"
"8716","28108","6.9","1,554","16 November 1936 (USA)","1936","113","Approved","Cecil B. DeMille","USA","English","Unavailable","Unavailable"
"8717","111216","5.2","813","14 August 1993 (Italy)","1993","0","R","James Glickenhaus","USA","English","$5,000,000","Unavailable"
