mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"79337","22834","7.8","1,403","8 May 1933 (Denmark)","1933","77","Passed","Monta Bell","USA","English","Unavailable","Unavailable"
"79339","21874","8","1,009","13 June 1931 (USA)","1931","89","Passed","Robert Z. Leonard","USA","English","Unavailable","Unavailable"
"79344","1043651","3.3","1,212","2 September 2010 (Belgium)","2010","87","R","Sam Gorski","Canada","English","Unavailable","Unavailable"
"79346","1236247","8.4","85","11 November 2008 (USA)","2008","271","None","Jack Gulick","USA","English","Unavailable","Unavailable"
"79348","1169158","9","280","25 September 2007 (USA)","2007","0","None","Danny Clinch","USA","English","$1,000,000","Unavailable"
"79357","485947","7.9","164,397","26 September 2013 (USA)","2013","141","R","Jaco Van Dormael","Belgium","English","$47,000,000","$3,600"
"79363","25536","8","817","13 December 1934 (USA)","1934","85","Approved","Joe May","USA","English","Unavailable","Unavailable"
"79368","65782","7.4","2,336","24 September 1970 (USA)","1970","107","G","Vittorio De Sica","Italy","Italian","Unavailable","Unavailable"
"79388","63443","6.8","2,314","1 January 1969 (UK)","1969","118","PG","André De Toth","UK","English","Unavailable","Unavailable"
"79395","47494","4.6","1,114","20 December 1954 (USA)","1954","142","Approved","Victor Saville","USA","English","$4,500,000","Unavailable"
"79397","34780","7.1","1,149","28 November 1942 (USA)","1942","93","Approved","William Keighley","USA","English","Unavailable","Unavailable"
"79400","1487120","7","262","29 November 2012 (Hungary)","2012","0","None","Steven Bognar","USA","English","Unavailable","Unavailable"
"79402","1068669","6.5","1,363","19 June 2009 (UK)","2009","119","R","Nick Moran","UK","English","&pound;1,250,000","Unavailable"
"79410","452634","6.9","1,027","9 May 2007 (Spain)","2007","81","None","Evan Richards","UK","English","Unavailable","Unavailable"
"79424","70435","3.6","236","3 August 1973 (USA)","1973","74","R","Bernard Girard","USA","English","$750,000","Unavailable"
"79428","427152","5.9","82,953","30 July 2010 (USA)","2010","114","PG-13","Jay Roach","USA","English","Unavailable","$72,980,108"
"79430","1484522","7.1","1,155","24 January 2010 (USA)","2010","0","R","Reed Cowan","USA","English","$2,500,000","$99,851"
"79458","66466","7.1","402","27 June 1970 (Japan)","1970","94","None","Nagisa Ôshima","Japan","Japanese","Unavailable","Unavailable"
"79461","63598","6.6","438","July 1973 (USA)","(USA)","96","None","Nagisa Ôshima","Japan","Japanese","Unavailable","Unavailable"
"79463","1415283","6.1","20,849","20 August 2010 (USA)","2010","109","PG","Susanna White","UK","English","$35,000,000","$28,995,450"
"79467","1277728","7","3,305","5 September 2008 (Italy)","2008","75","NotRated","Gianni Di Gregorio","Italy","Italian","&euro;500,000","$673,721"
"79469","105019","7.5","2,238","17 April 1992 (Netherlands)","1992","108","None","Alex van Warmerdam","Netherlands","Dutch","Unavailable","Unavailable"
"79471","395424","6.6","1,207","1 December 2006 (Singapore)","2006","123","NotRated","Thom Fitzgerald","Canada","Afrikaans","CAD&nbsp;3,000,000","Unavailable"
"79473","102583","7.7","1,436","3 March 1993 (USA)","1993","110","R","Agnieszka Holland","France","French","Unavailable","$1,300,000"
"79475","156906","7.1","542","4 April 1998 (South Korea)","1998","110","None","Sang-soo Hong","South Korea","Korean","Unavailable","Unavailable"
"79477","67820","7.4","2,807","14 May 1971 (France)","1971","93","R","Milos Forman","USA","English","Unavailable","Unavailable"
"79494","220016","6.4","2,476","22 October 1999 (Greece)","1999","0","None","Thanasis Papathanasiou","Greece","Greek","Unavailable","Unavailable"
"79496","497539","5.9","1,524","25 August 2006 (Norway)","2006","104","None","Stefan Faldbakken","Norway","Norwegian","NOK&nbsp;13,720,000","Unavailable"
"79498","75342","6.1","4,842","24 December 1976 (USA)","1976","90","R","Charles B. Pierce","USA","English","Unavailable","Unavailable"
"79501","352465","6.8","1,379","21 September 2002 (Japan)","2002","96","None","Takashi Miike","Japan","Japanese","Unavailable","Unavailable"
"79505","1252610","6.7","2,690","6 February 2009 (Norway)","2009","78","None","Rune Denstad Langlo","Norway","Norwegian","Unavailable","Unavailable"
"79507","75669","7.6","4,670","27 May 1977 (India)","1977","184","None","Manmohan Desai","India","Hindi","Unavailable","Unavailable"
"79515","1570966","5.6","2,374","12 February 2010 (Sweden)","2010","97","None","Josef Fares","Sweden","Swedish","Unavailable","Unavailable"
"79519","61113","7.3","982","12 May 1968 (USA)","1968","105","None","Alain Robbe-Grillet","France","French","Unavailable","Unavailable"
"79521","208995","5.6","1,222","8 January 2000 (South Korea)","2000","112","None","Sun-Woo Jang","South Korea","Korean","Unavailable","$61,900"
"79523","415127","7.2","2,755","31 January 2008 (Hungary)","2008","139","None","Béla Tarr","Hungary","French","&euro;6,000,000","Unavailable"
"79525","47101","7.2","2,732","3 November 1954 (West Germany)","1954","91","Approved","Fritz Lang","USA","English","Unavailable","Unavailable"
"79528","25907","7.2","1,845","17 August 1934 (USA)","1934","103","NotRated","Victor Fleming","USA","English","Unavailable","Unavailable"
"79533","78915","7.3","2,737","30 September 1979 (USA)","1979","98","G","Chuck Jones","USA","English","Unavailable","Unavailable"
"79536","1227536","6.8","2,734","9 January 2009 (Finland)","2009","133","None","Aleksi Mäkelä","Finland","Finnish","&euro;1,700,000","Unavailable"
"79539","1118045","6.4","907","14 May 2010 (USA)","2010","85","None","Darko Lungulov","Serbia","Serbian","$300,000","Unavailable"
"79541","1264904","7.2","9,763","30 September 2009 (France)","2009","91","None","Laurent Tirard","France","French","Unavailable","Unavailable"
"79543","109685","7.8","479","1 October 1994 (USA)","1994","125","None","Edward Yang","Taiwan","Mandarin","Unavailable","Unavailable"
"79545","1352369","4.7","4,686","16 July 2010 (USA)","2010","73","None","Kôji Shiraishi","Japan","Japanese","Unavailable","Unavailable"
"79547","1002561","4.8","986","25 April 2009 (Canada)","2009","96","None","Charles Adelman","USA","English","$3,500,000","Unavailable"
"79551","1104126","6.5","2,530","24 April 2009 (UK)","2009","85","None","Eran Creevy","UK","English","Unavailable","Unavailable"
"79553","1386932","7.6","75,879","29 April 2010 (Hong Kong)","2010","108","R","Wilson Yip","Hong Kong","Cantonese","Unavailable","$204,380"
"79561","400383","4","273","13 January 2004 (USA)","2004","72","None","Charles Band","USA","English","$300,000","Unavailable"
"79565","492967","6.5","142","29 September 2006 (Brazil)","2006","0","None","Edgar Navarro","Brazil","Portuguese","Unavailable","Unavailable"
"79568","79359","6.7","38","15 December 1979 (Sweden)","1979","94","None","Karsten Wedel","Sweden","Swedish","Unavailable","Unavailable"
"79570","1159712","6.7","324","24 January 2010 (USA)","2010","87","NotRated","Jeffrey Blitz","USA","English","Unavailable","Unavailable"
"79572","493949","6.7","14,424","23 July 2010 (USA)","2010","0","G","Elizabeth Allen Rosenbaum","USA","English","$15,000,000","$26,161,406"
