mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"81059","772105","7.1","2,581","10 November 2006 (Italy)","2006","102","None","Paolo Sorrentino","Italy","Italian","Unavailable","Unavailable"
"81061","52050","7.2","1,990","28 October 1958 (USA)","1958","99","NotRated","Nicholas Ray","USA","English","Unavailable","Unavailable"
"81064","1009014","3.8","913","18 May 2007 (Mexico)","2007","78","None","Diego Luna","Mexico","Spanish","Unavailable","Unavailable"
"81067","343992","6.8","2,067","January 2003 (USA)","(USA)","5","None","Sean Astin","New Zealand","English","Unavailable","Unavailable"
"81069","1209364","5.2","427","26 February 2010 (USA)","2010","0","None","Emily Abt","USA","English","Unavailable","$21,268"
"81072","85807","7.7","401","13 September 1982 (Poland)","1982","92","None","Witold Leszczynski","Poland","Polish","Unavailable","Unavailable"
"81075","1247696","7.2","1,009","10 October 2009 (Estonia)","2009","114","None","Veiko Õunpuu","Estonia","Estonian","&euro;983,081","$1,727"
"81080","1400526","5.2","3,360","12 October 2010 (USA)","2010","81","R","Dario Piana","South Africa","English","$4,400,000","Unavailable"
"81083","1523483","5.7","10,895","6 October 2010 (France)","2010","86","Unrated","Gregg Araki","USA","English","Unavailable","$116,478"
"81085","93791","7.1","470","8 October 1987 (Greece)","1987","108","None","Nikos Nikolaidis","Greece","Greek","Unavailable","Unavailable"
"81087","886539","7.1","7,620","30 January 2009 (India)","2009","0","None","Zoya Akhtar","India","Hindi","Unavailable","$355,492"
"81090","1045642","7.1","1,284","10 January 2009 (USA)","2009","0","None","Peter Hanson","USA","English","Unavailable","$6,764"
"81092","490117","6.4","198","2007 (USA)","Unavailable","0","None","Daniel Snyder","USA","English","Unavailable","Unavailable"
"81094","922522","6.6","242","25 May 2007 (USA)","2007","39","None","Keith Melton","USA","English","$4,000,000","Unavailable"
"81100","1099932","6.9","120","21 July 2007 (Canada)","2007","85","None","Martin Perreault","Canada","English","CAD&nbsp;10,000","Unavailable"
"81102","58438","7.2","528","1965 (USA)","Unavailable","130","None","Miguel M. Delgado","Mexico","Spanish","Unavailable","Unavailable"
"81104","1542411","7.8","328","8 October 2010 (USA)","2010","70","Unrated","Julia Bacha","Israel","Arabic","Unavailable","$68,353"
"81107","27138","7.7","230","12 April 1937 (USA)","1937","74","None","Mikio Naruse","Japan","Japanese","Unavailable","Unavailable"
"81109","122371","7.5","491","6 April 1970 (Czechoslovakia)","1970","99","None","Frantisek Vlácil","Czechoslovakia","Czech","Unavailable","Unavailable"
"81111","1447508","7.5","9,328","13 August 2010 (USA)","2010","95","None","Anusha Rizvi","India","Hindi","Unavailable","$754,836"
"81117","80547","7.3","85","10 October 1980 (Poland)","1980","100","None","Tomasz Zygadlo","Poland","Polish","Unavailable","Unavailable"
"81123","20919","7.7","733","15 March 1930 (USA)","1930","91","Passed","Sam Wood","USA","English","Unavailable","Unavailable"
"81125","60099","5.4","251","28 October 1966 (UK)","1966","103","None","Robert Gist","USA","English","Unavailable","Unavailable"
"81130","176250","6.4","1,155","19 November 1999 (UK)","1999","84","None","Gaby Dellal","UK","English","Unavailable","Unavailable"
"81132","1612774","5.8","27,548","10 November 2010 (France)","2010","82","R","Quentin Dupieux","France","English","$500,000","$98,017"
"81138","445054","6.5","6,137","12 November 2010 (Mexico)","2010","105","NotRated","Daniel Grou","Canada","French","CAD&nbsp;3,400,000","Unavailable"
"81140","1179069","6.1","26,689","1 March 2013 (USA)","2013","112","R","Måns Mårlind","USA","English","$22,000,000","Unavailable"
"81142","326965","5.6","1,720","23 April 2010 (USA)","2010","104","PG-13","Allen Wolf","USA","English","$1,000,000","$28,841"
"81145","93139","7.1","1,343","21 August 1987 (Finland)","1987","0","None","Aki Kaurismäki","Finland","Finnish","Unavailable","Unavailable"
"81147","171357","7.2","653","14 June 1986 (Japan)","1986","0","None","Toshio Hirata","Japan","Japanese","Unavailable","Unavailable"
"81150","415739","7","143","2006 (USA)","Unavailable","81","R","Mike Meiners","USA","English","$750,000","Unavailable"
"81152","482358","6.1","601","25 December 2007 (Denmark)","2007","91","None","Jacob Thuesen","Denmark","Danish","Unavailable","Unavailable"
"81156","1116184","7.1","49,272","15 October 2010 (USA)","2010","95","R","Jeff Tremaine","USA","English","$20,000,000","$117,224,271"
"81158","1559549","7.6","18,014","6 August 2010 (USA)","2010","93","R","Tim Hetherington","USA","English","Unavailable","$1,330,894"
"81162","1241330","3.8","3,092","6 August 2010 (USA)","2010","87","R","Dean Francis","Australia","English","$1,000,000","Unavailable"
"81164","1085779","5.7","19,948","11 June 2010 (Italy)","2010","92","PG-13","Joe Dante","USA","English","$12,000,000","Unavailable"
"81172","365402","6.9","361","28 May 2002 (China)","2002","0","None","Yibai Zhang","China","Mandarin","Unavailable","Unavailable"
"81180","1320304","4.4","10,568","5 October 2010 (USA)","2010","92","R","Ben Ketai","USA","English","Unavailable","Unavailable"
"81182","1662557","7.4","3,358","7 January 2010 (South Korea)","2010","125","None","Hyeong-Joon Kim","South Korea","Korean","Unavailable","Unavailable"
"81184","420181","6.7","231","17 July 2003 (USA)","2003","27","None","Neil Gaiman","UK","English","Unavailable","Unavailable"
"81191","1566648","7.5","9,890","29 October 2010 (USA)","2010","111","PG","Davis Guggenheim","USA","English","Unavailable","$6,410,257"
"81193","43123","6.2","919","25 November 1950 (USA)","1950","107","Approved","Roy Del Ruth","USA","English","Unavailable","Unavailable"
"81195","1003034","6.4","5,326","26 March 2010 (Ireland)","2010","88","R","Ian Fitzgibbon","Ireland","English","Unavailable","$828"
"81198","58745","6.5","993","2 November 1964 (USA)","1964","111","NotRated","Edward Dmytryk","USA","English","Unavailable","Unavailable"
"81200","28330","6.5","940","20 July 1936 (USA)","1936","93","Passed","George Fitzmaurice","USA","English","$614,000","Unavailable"
"81204","1094295","6","1,580","12 October 2008 (USA)","2008","96","None","Johnny Kevorkian","UK","English","Unavailable","Unavailable"
"81214","62990","6.7","798","7 February 1968 (USA)","1968","110","R","Mark Rydell","Canada","English","Unavailable","Unavailable"
"81216","43565","6.7","829","1951 (UK)","Unavailable","96","Approved","Lloyd Bacon","USA","English","Unavailable","Unavailable"
"81225","441324","7.2","478","8 January 2005 (UK)","2005","120","None","Peter Orton","UK","English","&pound;200,000","Unavailable"
"81229","1245526","7.1","248,274","15 October 2010 (USA)","2010","111","PG-13","Robert Schwentke","USA","English","$58,000,000","$90,356,857"
"81238","92285","2.2","255","September 1986 (USA)","(USA)","78","R","John Golden","USA","English","Unavailable","Unavailable"
"81243","57536","6.3","84","October 1965 (USA)","(USA)","95","None","Jacques Poitrenaud","France","French","Unavailable","Unavailable"
"81248","73496","6.4","771","20 December 1975 (Japan)","1975","103","PG","Larry Peerce","USA","English","Unavailable","Unavailable"
"81250","45471","6.6","873","25 September 1953 (USA)","1953","90","Passed","George Cukor","USA","English","Unavailable","Unavailable"
"81257","1340107","7.7","33,917","26 August 2010 (Denmark)","2010","0","R","Susanne Bier","Denmark","Danish","Unavailable","$1,007,908"
"81270","872230","4.8","16,951","8 October 2010 (USA)","2010","0","R","Wes Craven","USA","English","$25,000,000","$14,637,490"
"81274","479221","6.7","465","15 June 2007 (Spain)","2007","0","None","Félix Viscarret","Spain","Spanish","Unavailable","Unavailable"
"81276","1337137","7.1","2,494","3 June 2010 (Argentina)","2010","78","NotRated","Oliver Stone","USA","English","Unavailable","$166,611"
"81281","466665","5.5","989","26 April 2006 (USA)","2006","0","R","Matt Tauber","USA","English","Unavailable","$12,644"
"81305","1424327","7.3","5,150","2 September 2009 (France)","2009","91","NotRated","Haim Tabakman","Israel","Hebrew","Unavailable","$30,818"
"81312","452592","5.6","8,310","9 April 2009 (Mexico)","2009","105","R","Zev Berman","USA","English","Unavailable","Unavailable"
"81314","1047445","4.3","254","11 March 2008 (USA)","2008","97","None","Steven Dieveney","Brazil","English","Unavailable","Unavailable"
"81316","1242618","4.6","4,491","29 January 2010 (Mexico)","2010","85","R","Sean McConville","USA","English","$1,800,000","Unavailable"
"81322","478214","7.2","259","1 November 2006 (Germany)","2006","92","None","Jo Baier","Germany","German","Unavailable","Unavailable"
"81324","810821","5.4","483","7 July 2009 (USA)","2009","0","None","Sticky Fingaz","USA","English","$3,100,000","Unavailable"
"81328","60223","7.7","1,147","23 September 1970 (Portugal)","1970","91","None","Carlos Saura","Spain","Spanish","Unavailable","Unavailable"
"81330","1611931","6.8","66","11 February 2011 (UK)","2011","83","None","Mark Henderson","UK","English","Unavailable","Unavailable"
"81333","124294","7.2","394","30 October 1968 (Yugoslavia)","1968","84","None","Aleksandar Petrovic","Yugoslavia","Serbo-Croatian","Unavailable","Unavailable"
"81347","497467","6.4","146","18 October 2007 (Germany)","2007","97","R","Angelina Maccarone","Germany","German","&euro;1,100,000","$3,547"
"81349","114198","6.4","79","31 May 1995 (Poland)","1995","88","R","Krzysztof Lang","UK","Polish","Unavailable","Unavailable"
"81351","63386","6.7","1,400","11 October 1968 (Denmark)","1968","80","NotRated","Erik Balling","Denmark","Danish","Unavailable","Unavailable"
"81355","1247184","8.1","1,935","November 2008 (Argentina)","(Argentina)","7","None","Santiago Bou Grasso","Argentina","Spanish","Unavailable","Unavailable"
"81357","187809","7.7","944","October 1998 (USA)","(USA)","95","None","Dariush Mehrjui","Iran","Persian","Unavailable","Unavailable"
"81359","1190894","6.9","1,525","5 May 2010 (USA)","2010","0","None","Dev Benegal","India","Hindi","Unavailable","Unavailable"
"81362","435528","5.8","7,993","16 May 2007 (Philippines)","2007","94","R","Stewart Hendler","USA","English","$12,000,000","Unavailable"
"81364","928188","4.8","402","27 September 2007 (USA)","2007","87","R","A.J. Kparr","USA","English","$1,000,000","Unavailable"
"81366","27752","7.9","2,205","1 April 1987 (USA)","1987","87","NotRated","Yasujirô Ozu","Japan","Japanese","Unavailable","Unavailable"
"81371","34591","7.9","1,762","November 1982 (USA)","(USA)","0","NotRated","Yasujirô Ozu","Japan","Japanese","Unavailable","Unavailable"
"81381","376821","7.4","1,750","1967 (Denmark)","Unavailable","0","None","Jørgen Leth","Denmark","Danish","Unavailable","Unavailable"
"81383","1465487","6.8","21,863","17 March 2010 (France)","2010","105","None","Pascal Chaumeil","France","French","&euro;8,700,000","$504,030"
"81385","1588337","7.2","12,891","25 March 2011 (USA)","2011","122","PG-13","Xavier Beauvois","France","French","&euro;4,000,000","$3,950,029"
"81387","120116","6.8","176","12 June 1997 (Singapore)","1997","105","None","Eric Khoo","Singapore","English","Unavailable","Unavailable"
"81389","459387","5","1,080","20 October 2006 (UK)","2006","96","None","Thomas Clay","UK","English","Unavailable","Unavailable"
"81391","1426361","7.3","2,429","16 October 2009 (Bulgaria)","2009","83","None","Kamen Kalev","Bulgaria","Bulgarian","Unavailable","Unavailable"
"81393","379765","6.5","316","22 July 2005 (South Africa)","2005","94","None","Zola Maseko","USA","English","$3,600","Unavailable"
"81396","23825","7.3","1,732","13 October 1933 (USA)","1933","96","Passed","Victor Fleming","USA","English","$344,000","Unavailable"
"81398","1679595","6.5","296","8 December 2010 (France)","2010","111","None","Sarunas Bartas","France","French","Unavailable","Unavailable"
"81403","63005","6.8","5,101","30 October 1968 (France)","1968","92","None","Jean Girault","France","French","Unavailable","Unavailable"
"81405","454990","6.7","90","22 June 2005 (USA)","2005","0","None","Elle Flanders","Canada","Arabic","Unavailable","Unavailable"
"81411","88241","7.9","1,450","21 April 1984 (Greece)","1984","120","None","Theodoros Angelopoulos","Greece","Greek","Unavailable","Unavailable"
"81413","47821","7.3","1,834","8 February 1957 (Finland)","1957","104","NotRated","Michelangelo Antonioni","Italy","Italian","Unavailable","$50,005"
"81415","1202202","6.8","102","15 February 2008 (Spain)","2008","0","None","José Luis López-Linares","Spain","Spanish","Unavailable","Unavailable"
"81417","1536044","5.7","85,255","22 October 2010 (USA)","2010","91","R","Tod Williams","USA","English","$3,000,000","$84,749,884"
"81424","1434443","7.1","3,641","17 June 2011 (USA)","2011","99","Unrated","Tobias Lindholm","Denmark","Danish","DKK&nbsp;4,755,000","Unavailable"
"81427","1528718","4.6","3,220","11 December 2010 (Japan)","2010","98","R","Lauro Chartrand","USA","English","$10,000,000","Unavailable"
"81429","1675758","3.9","802","19 October 2010 (USA)","2010","90","R","Stephen Shimek","USA","English","$200,000","Unavailable"
"81432","14900","6.6","520","13 April 1924 (Finland)","1924","80","None","F.W. Murnau","Germany","German","Unavailable","Unavailable"
"81435","12651","6.4","930","7 April 1921 (Germany)","1921","75","None","F.W. Murnau","Germany","German","Unavailable","Unavailable"
"81441","1428050","6.1","263","11 December 2009 (Finland)","2009","116","None","Miika Ullakko","Finland","Finnish","&euro;10,000","Unavailable"
"81443","23911","7.6","918","25 December 1933 (USA)","1933","82","TV-G","William Wyler","USA","English","Unavailable","Unavailable"
"81445","303281","7.5","514","11 January 2002 (USA)","2002","0","None","Gail Dolgin","USA","English","Unavailable","Unavailable"
"81447","262774","6.9","551","6 April 2001 (USA)","2001","0","None","Bahman Farmanara","Iran","Persian","Unavailable","$9,874"
"81451","1411232","4.5","2,477","April 2012 (USA)","(USA)","81","R","Jonathan Glendening","UK","English","Unavailable","Unavailable"
"81453","42397","6.6","690","3 November 1950 (USA)","1950","75","Passed","Gerald Mayer","USA","English","Unavailable","Unavailable"
"81456","1600524","7.2","20,304","29 September 2010 (France)","2010","101","None","Xavier Dolan","Canada","French","CAD&nbsp;600,000","$62,985"
"81495","496634","6.3","6,545","25 June 2009 (Germany)","2009","94","NotRated","Julie Delpy","France","English","$8,500,000","Unavailable"
"81497","70287","6.3","1,141","27 July 1973 (USA)","1973","95","PG","Lamont Johnson","USA","English","Unavailable","Unavailable"
