mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"113872","115826","7.2","178","14 April 1996 (USA)","1996","91","Unrated","Bruce Pittman","USA","English","Unavailable","Unavailable"
"113889","2123146","5.7","5,608","21 July 2014 (USA)","2014","115","None","Kevin Finn","USA","English","$325,927","Unavailable"
"113891","73239","5.7","226","25 June 1975 (Sweden)","1975","94","None","Lasse Hallström","Sweden","Swedish","SEK&nbsp;1,800,000","Unavailable"
"113895","32157","6.6","86","14 January 1939 (USA)","1939","83","None","George Cukor","USA","English","Unavailable","Unavailable"
"113898","283452","5.6","248","27 May 2003 (USA)","2003","87","PG-13","Robert Marcarelli","USA","English","$3,500,000","Unavailable"
"113902","59417","7.3","700","7 May 1965 (India)","1965","65","None","Satyajit Ray","India","Bengali","Unavailable","Unavailable"
"113904","2088903","5.5","171","19 April 2013 (USA)","2013","84","R","Enid Zentelis","USA","English","Unavailable","Unavailable"
"113906","71200","5.8","2,125","April 1974 (USA)","(USA)","93","PG","Paul Annett","UK","English","Unavailable","Unavailable"
"113908","2452236","7.6","24","11 March 2013 (USA)","2013","90","TV-PG","Louis Alvarez","USA","English","Unavailable","Unavailable"
"113911","120454","7.2","368","5 May 2000 (Canada)","2000","180","None","Alan Zweig","Canada","English","Unavailable","Unavailable"
"113924","70472","6.3","738","24 August 1973 (Denmark)","1973","108","PG","Stanley Kramer","USA","English","Unavailable","Unavailable"
"113933","70578","5.4","581","October 1973 (USA)","(USA)","108","R","Harvey Hart","Canada","English","CAD&nbsp;1,000,000","Unavailable"
"113938","3889036","7.5","281","4 August 2014 (USA)","2014","71","None","Peter W. Kunhardt","USA","English","Unavailable","Unavailable"
"113943","56082","6.1","152","6 September 1962 (Mexico)","1962","85","None","Walter Doniger","USA","English","Unavailable","Unavailable"
"113945","41278","6.1","359","10 December 1949 (USA)","1949","79","Approved","Ted Tetzlaff","USA","English","Unavailable","Unavailable"
"113947","19067","7","323","1 December 1928 (USA)","1928","78","Passed","Robert Z. Leonard","USA","English","Unavailable","Unavailable"
"113949","72596","5.5","130","25 December 1975 (USA)","1975","99","R","Gordon Parks Jr.","USA","English","Unavailable","Unavailable"
"113951","88689","6.1","798","3 April 1985 (USA)","1985","98","R","Louis Malle","USA","English","Unavailable","$380,000"
"113953","23758","6","141","9 June 1933 (USA)","1933","71","None","Edward Buzzell","USA","English","Unavailable","Unavailable"
"113955","21647","7.1","320","9 April 1932 (USA)","1932","66","Unrated","Roy Del Ruth","USA","English","Unavailable","Unavailable"
"113968","1282015","7.1","2,134","29 May 2009 (USA)","2009","25","None","Chandler Tuttle","USA","English","Unavailable","Unavailable"
"113970","3595024","4.7","103","5 March 2014 (Venezuela)","2014","52","None","Oliver Stone","Venezuela","Spanish","Unavailable","Unavailable"
"113972","308188","7.1","56","Unavailable","Unavailable","0","None","Sut Jhally","USA","Unavailable","Unavailable","Unavailable"
"113974","86488","5.4","229","25 March 1983 (Sweden)","1983","111","None","Lasse Hallström","Sweden","Swedish","Unavailable","Unavailable"
"113976","1891917","7.8","64","2010 (USA)","Unavailable","90","None","David Lipke","USA","English","Unavailable","Unavailable"
"113981","35681","6.7","73","8 October 1943 (USA)","1943","54","None","Robert Emmett Tansey","USA","English","Unavailable","Unavailable"
"113983","29941","6.1","104","8 December 1937 (USA)","1937","76","Approved","William Nigh","USA","English","Unavailable","Unavailable"
"113997","63668","6.7","1,597","21 July 1968 (Japan)","1968","82","None","Isao Takahata","Japan","Japanese","Unavailable","Unavailable"
"113999","106290","7.6","553","13 November 1996 (USA)","1996","100","None","Nikita Mikhalkov","Russia","Russian","Unavailable","Unavailable"
"114001","80755","7.8","1,776","1 January 1989 (UK)","1989","8","None","Jean-Pierre Jeunet","France","French","Unavailable","Unavailable"
"114003","3199456","7.7","829","June 2014 (UK)","(UK)","94","None","Talal Derki","Syria","Arabic","Unavailable","Unavailable"
"114007","1726592","6.3","53,833","31 October 2014 (USA)","2014","92","R","Rowan Joffe","UK","English","$22,000,000","$2,963,012"
"114009","3410666","8.4","53","5 September 2014 (USA)","2014","87","None","John Ennis","USA","English","Unavailable","$9,405"
"114011","1046963","7.8","185","18 July 2001 (UK)","2001","65","None","Alan Lowery","UK","English","Unavailable","Unavailable"
"114013","2800038","4.4","2,095","12 September 2014 (USA)","2014","99","PG-13","James Manera","USA","English","$5,000,000","$830,210"
"114015","34814","7","190","1956 (USA)","Unavailable","118","None","Veit Harlan","Germany","German","Unavailable","Unavailable"
"114017","52673","7.1","417","October 1960 (Austria)","(Austria)","105","None","Joseph Anthony","USA","English","Unavailable","Unavailable"
"114028","3169706","7.8","39,275","12 September 2014 (UK)","2014","119","R","Matthew Warchus","UK","English","Unavailable","Unavailable"
"114033","2106361","5.8","56,138","8 August 2014 (USA)","2014","89","PG-13","Steven Quale","USA","English","$50,000,000","$47,553,512"
"114035","1666335","5.8","6,425","5 August 2014 (USA)","2014","108","R","Jason Stone","USA","English","Unavailable","Unavailable"
"114040","1564368","4.7","1,252","27 March 2015 (USA)","2015","92","NotRated","Péter Engert","USA","English","$2,500,000","Unavailable"
"114042","2343793","6.4","21,885","14 November 2014 (UK)","2014","137","R","Paul Haggis","Belgium","English","$28,000,000","$1,019,038"
"114044","3177316","5.6","18,783","12 September 2014 (USA)","2014","87","R","Leigh Janiak","USA","English","$1,000,000","$9,168"
"114046","2920808","6.1","8,646","8 August 2014 (UK)","2014","88","R","John Slattery","USA","English","$1,000,000","$104,401"
"114048","36419","6.8","376","December 1942 (USA)","(USA)","103","Passed","William Dieterle","USA","English","Unavailable","Unavailable"
"114060","1600196","7.1","114,671","12 September 2014 (USA)","2014","106","R","Michaël R. Roskam","USA","English","$12,600,000","$10,720,322"
"114062","1559036","6","3,027","8 November 2013 (USA)","2013","85","R","Alan Polsky","USA","English","Unavailable","Unavailable"
"114064","49616","4.6","304","February 1957 (USA)","(USA)","66","Approved","Lee Sholem","USA","English","$116,000","Unavailable"
"114066","2920540","7.5","8,729","18 November 2014 (USA)","2014","97","None","Iain Forsyth","UK","English","Unavailable","$277,770"
"114068","1826730","6.6","620","15 August 2014 (USA)","2014","98","TV-14","Jeremiah Zagar","USA","English","Unavailable","Unavailable"
"114070","3983732","7.9","227","8 September 2014 (USA)","2014","60","None","Liz Garbus","USA","English","$600,000","Unavailable"
"114072","1340803","4.8","682","18 March 2013 (USA)","2013","0","R","Branden Chambers","USA","English","Unavailable","Unavailable"
"114074","1571249","6.8","33,293","11 September 2014 (New Zealand)","2014","93","R","Craig Johnson","USA","English","Unavailable","$5,283,379"
